EM0001, JOHN, 0123456782, Doctor, 2500, 3, 12-05-1980, 01-05-2010, null 
EM0002, ROSE, 0907100201,  Nurse,  2200, 3, 15-07-1981, 01-04-2012, null
EM0003, MINH, 0903123124, Nurse, 2100, 3, 21-08-1970, 01-04-2012,  22-08-2023
EM0004, THU, 0909900911, Technician,  1800, 3, 23-12-1980,01-04-2021,null 
EM0005, TUYET, 0162116118, Doctor,  2700, 3,29-06-1982,01-05-2021, null 
EM0006, LOAN, 0163234567, Nurse,  2000, 3, 03-02-1985,01-06-2021, null 
EM0007, ROSELINE, 0166345678, Doctor, 2250, 3, 06-01-1987,01-06-2021,  null 
EM0008, BILL, 0165800900,  Doctor, 2500, 3,23-10-1979, 01-07-2021, null 
EM0009, OBAMA, 0905556777,  Nurse, 2100, 3,18-03-1982, 01-08-2021, null 
EM0010, BIDEN, 0903878989, Technician, 1700, 3,  21-05-1983, 01-10-2021, null 
EM0011, ESTEL, 0907883116,  Doctor, 2950, 4,22-07-1960, 22-08-2023,  null 
EM0012, ALBERT, 0909555444,  Doctor,  4000, 3, 22-12-1950,22-08-2023, null
